model,domain,factor,ATE,ci_low,ci_high,n_pairs
anthropic__claude-haiku-4.5,academic_qa,S1,-0.08666666666666667,-0.18683333333333332,0.013499999999999849,450
anthropic__claude-haiku-4.5,academic_qa,S2,-0.15333333333333332,-0.25333333333333335,-0.06,450
anthropic__claude-haiku-4.5,academic_qa,S3,0.16,0.06666666666666667,0.26,450
anthropic__claude-haiku-4.5,academic_qa,S4,-0.013333333333333334,-0.12016666666666666,0.09333333333333334,450
anthropic__claude-haiku-4.5,academic_qa,O1,-0.06,-0.14666666666666667,0.020166666666666517,450
anthropic__claude-haiku-4.5,academic_qa,O2,-0.05333333333333334,-0.14,0.02,450
anthropic__claude-haiku-4.5,academic_qa,O3,-0.03333333333333333,-0.14,0.06666666666666667,450
anthropic__claude-haiku-4.5,academic_qa,O4,-0.12,-0.24666666666666667,-0.01316666666666682,450
anthropic__claude-haiku-4.5,consumer_product,S1,0.013333333333333334,-0.08,0.10666666666666667,450
anthropic__claude-haiku-4.5,consumer_product,S2,-0.16666666666666666,-0.29333333333333333,-0.05333333333333334,450
anthropic__claude-haiku-4.5,consumer_product,S3,-0.24666666666666667,-0.36666666666666664,-0.13316666666666682,450
anthropic__claude-haiku-4.5,consumer_product,S4,0.10666666666666667,0.006666666666666667,0.20666666666666667,450
anthropic__claude-haiku-4.5,consumer_product,O1,0.03333333333333333,-0.04,0.10666666666666667,450
anthropic__claude-haiku-4.5,consumer_product,O2,-0.06,-0.16,0.02666666666666667,450
anthropic__claude-haiku-4.5,consumer_product,O3,0.07333333333333333,-0.03333333333333333,0.17333333333333334,450
anthropic__claude-haiku-4.5,consumer_product,O4,-0.013333333333333334,-0.12666666666666668,0.1,450
anthropic__claude-haiku-4.5,finance,S1,0.10666666666666667,0.02,0.20666666666666667,450
anthropic__claude-haiku-4.5,finance,S2,0.04,-0.04,0.13333333333333333,450
anthropic__claude-haiku-4.5,finance,S3,0.09333333333333334,-0.006666666666666667,0.2,450
anthropic__claude-haiku-4.5,finance,S4,0.1,0.0,0.20666666666666667,450
anthropic__claude-haiku-4.5,finance,O1,-0.05333333333333334,-0.16,0.05333333333333334,450
anthropic__claude-haiku-4.5,finance,O2,-0.08,-0.16,0.0,450
anthropic__claude-haiku-4.5,finance,O3,0.03333333333333333,-0.05333333333333334,0.12,450
anthropic__claude-haiku-4.5,finance,O4,-0.07333333333333333,-0.16666666666666666,0.006833333333333182,450
anthropic__claude-haiku-4.5,health,S1,0.10666666666666667,0.013166666666666677,0.19349999999999984,450
anthropic__claude-haiku-4.5,health,S2,0.06,-0.05333333333333334,0.18666666666666668,450
anthropic__claude-haiku-4.5,health,S3,0.05333333333333334,-0.04666666666666667,0.15333333333333332,450
anthropic__claude-haiku-4.5,health,S4,0.08,-0.02,0.18666666666666668,450
anthropic__claude-haiku-4.5,health,O1,0.006666666666666667,-0.1,0.11333333333333333,450
anthropic__claude-haiku-4.5,health,O2,0.05333333333333334,-0.04666666666666667,0.15349999999999983,450
anthropic__claude-haiku-4.5,health,O3,0.06666666666666667,-0.03333333333333333,0.16,450
anthropic__claude-haiku-4.5,health,O4,-0.02,-0.12,0.07333333333333333,450
anthropic__claude-haiku-4.5,travel,S1,-0.04,-0.12666666666666668,0.05333333333333334,450
anthropic__claude-haiku-4.5,travel,S2,-0.06,-0.12666666666666668,0.006666666666666667,450
anthropic__claude-haiku-4.5,travel,S3,-0.25333333333333335,-0.36,-0.1531666666666668,450
anthropic__claude-haiku-4.5,travel,S4,0.05333333333333334,0.006666666666666667,0.10666666666666667,450
anthropic__claude-haiku-4.5,travel,O1,-0.02,-0.07333333333333333,0.03333333333333333,450
anthropic__claude-haiku-4.5,travel,O2,-0.04,-0.09333333333333334,0.013333333333333334,450
anthropic__claude-haiku-4.5,travel,O3,0.0,-0.06666666666666667,0.07333333333333333,450
anthropic__claude-haiku-4.5,travel,O4,-0.06,-0.14666666666666667,0.013333333333333334,450
deepseek-v4-flash,academic_qa,S1,-0.0044943820224719105,-0.08600473746545598,0.07920359924791832,450
deepseek-v4-flash,academic_qa,S2,-0.14317673378076062,-0.22991071428571427,-0.06661830357142862,450
deepseek-v4-flash,academic_qa,S3,0.21076233183856502,0.1216079869106775,0.3042723576628152,450
deepseek-v4-flash,academic_qa,S4,-0.026785714285714284,-0.11334598214285714,0.047233458177278365,450
deepseek-v4-flash,academic_qa,O1,-0.026785714285714284,-0.10468876897704568,0.0490032535637235,450
deepseek-v4-flash,academic_qa,O2,0.029213483146067417,-0.05843025609879543,0.11633761699822433,450
deepseek-v4-flash,academic_qa,O3,-0.07829977628635347,-0.15024964824018866,-0.015589334323187331,450
deepseek-v4-flash,academic_qa,O4,0.026845637583892617,-0.06711785596051403,0.109375,450
deepseek-v4-flash,consumer_product,S1,0.23370786516853934,0.14696198328123283,0.3242828734202484,450
deepseek-v4-flash,consumer_product,S2,-0.12751677852348994,-0.24949400665649007,-0.020025016627365718,450
deepseek-v4-flash,consumer_product,S3,-0.04017857142857143,-0.133630289532294,0.05172956132228919,450
deepseek-v4-flash,consumer_product,S4,0.12723214285714285,0.00439866369710468,0.2577795216741405,450
deepseek-v4-flash,consumer_product,O1,0.03803131991051454,-0.05592841163310962,0.13646532438478748,450
deepseek-v4-flash,consumer_product,O2,-0.0066815144766146995,-0.09777777777777778,0.08222222222222222,450
deepseek-v4-flash,consumer_product,O3,0.051111111111111114,-0.04888888888888889,0.15777777777777777,450
deepseek-v4-flash,consumer_product,O4,0.11235955056179775,0.011284783730982195,0.21592897085983992,450
deepseek-v4-flash,finance,S1,0.2802690582959641,0.17526129251187694,0.39014414560325544,450
deepseek-v4-flash,finance,S2,0.020316027088036117,-0.04308390022675737,0.08823529411764706,450
deepseek-v4-flash,finance,S3,0.20134228187919462,0.08685486265775798,0.3236607142857143,450
deepseek-v4-flash,finance,S4,0.10538116591928251,0.02027027027027027,0.19687904415084118,450
deepseek-v4-flash,finance,O1,-0.022321428571428572,-0.09600376045688547,0.05345509863188037,450
deepseek-v4-flash,finance,O2,0.01580135440180587,-0.0696629213483146,0.09912162162162161,450
deepseek-v4-flash,finance,O3,-0.011210762331838564,-0.0717529097596614,0.05580982743433696,450
deepseek-v4-flash,finance,O4,0.026905829596412557,-0.06971507028770091,0.11714019141636066,450
